icd_class,icd_class_short,icd3,deaths,mean_age,male_deaths,top_description,total_deaths,share_within_class,male_share
I,Инфекционные болезни,A15,306,47.42483660130719,229,"Туберкулез легких, подтвержденный гистологически",730,0.4191780821917808,0.7483660130718954
I,Инфекционные болезни,B20,148,41.08783783783784,95,"Болезнь, вызванная ВИЧ, с проявлениями множественных инфекций",730,0.20273972602739726,0.6418918918918919
I,Инфекционные болезни,B18,93,55.473118279569896,56,Хронический вирусный гепатит C,730,0.1273972602739726,0.6021505376344086
I,Инфекционные болезни,A16,38,51.28947368421053,27,Туберкулез легких без упоминания о бактериологическом или гистологическом подтверждении,730,0.052054794520547946,0.7105263157894737
I,Инфекционные болезни,A46,31,73.70967741935483,8,Рожа,730,0.04246575342465753,0.25806451612903225
I,Инфекционные болезни,A04,29,60.206896551724135,6,"Энтероколит, вызванный Clostridium difficile",730,0.03972602739726028,0.20689655172413793
I,Инфекционные болезни,B22,16,49.1875,8,"Болезнь, вызванная ВИЧ, с проявлениями изнуряющего синдрома",730,0.021917808219178082,0.5
I,Инфекционные болезни,A09,15,42.266666666666666,8,Другой и неуточненный гастроэнтерит и колит инфекционного происхождения,730,0.02054794520547945,0.5333333333333333
I,Инфекционные болезни,A19,7,56.714285714285715,4,Острый милиарный туберкулез одной уточненной локализации,730,0.009589041095890411,0.5714285714285714
I,Инфекционные болезни,B23,6,43.833333333333336,3,"Болезнь, вызванная ВИЧ, с проявлениями (персистентной) генерализованной лимфаденопатии",730,0.00821917808219178,0.5
I,Инфекционные болезни,A48,4,46.0,3,Газовая гангрена,730,0.005479452054794521,0.75
I,Инфекционные болезни,B21,4,55.5,2,"Болезнь, вызванная ВИЧ, с проявлениями других злокачественных новообразований",730,0.005479452054794521,0.5
I,Инфекционные болезни,A32,3,47.0,2,Листериозный менингит и менингоэнцефалит,730,0.00410958904109589,0.6666666666666666
I,Инфекционные болезни,A52,3,50.333333333333336,3,Нейросифилис с симптомами,730,0.00410958904109589,1.0
I,Инфекционные болезни,B24,3,37.0,2,"Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ], неуточненная",730,0.00410958904109589,0.6666666666666666
I,Инфекционные болезни,B34,3,23.0,2,Другие вирусные инфекции   ,730,0.00410958904109589,0.6666666666666666
I,Инфекционные болезни,A08,2,26.5,1,Ротавирусный энтерит   ,730,0.0027397260273972603,0.5
I,Инфекционные болезни,A39,2,9.0,1,Острая менингококковая эндокардит   ,730,0.0027397260273972603,0.5
I,Инфекционные болезни,A49,2,65.0,2,Бактериальная инфекция неуточненная   ,730,0.0027397260273972603,1.0
I,Инфекционные болезни,B27,2,64.0,0,Гамма-герпесвирусный мононуклеоз   ,730,0.0027397260273972603,0.0
I,Инфекционные болезни,B44,2,64.5,1,Инвазивный аспергиллез   ,730,0.0027397260273972603,0.5
I,Инфекционные болезни,A02,1,46.0,1,Сальмонеллезный энтерит   ,730,0.0013698630136986301,1.0
I,Инфекционные болезни,A05,1,40.0,0,Бактериальное пищевое отравление неуточненное,730,0.0013698630136986301,0.0
I,Инфекционные болезни,A18,1,59.0,1,Туберкулез других органов   ,730,0.0013698630136986301,1.0
I,Инфекционные болезни,A31,1,61.0,0,Инфекция  вызванная Mycobacterium  ,730,0.0013698630136986301,0.0
I,Инфекционные болезни,A84,1,63.0,1,Энцефалит  вызванный клещом  ,730,0.0013698630136986301,1.0
I,Инфекционные болезни,A86,1,28.0,0,Вирусный энцефалит неуточненный   ,730,0.0013698630136986301,0.0
I,Инфекционные болезни,B00,1,33.0,1,Герпетическая энцефалит   ,730,0.0013698630136986301,1.0
I,Инфекционные болезни,B83,1,69.0,0,Гельминтоз неуточненный   ,730,0.0013698630136986301,0.0
I,Инфекционные болезни,B90,1,54.0,1,Отдаленные последствия туберкулеза органов дыхания и неуточненного туберкулеза,730,0.0013698630136986301,1.0
I,Инфекционные болезни,B91,1,31.0,0,Последствия полиомиелита   ,730,0.0013698630136986301,0.0
I,Инфекционные болезни,B94,1,68.0,1,Последствия вирусного энцефалита   ,730,0.0013698630136986301,1.0
II,Новообразования,C34,2332,66.45068610634648,1745,"Злокачественное новообразование бронхов или легкого, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.20540826213335683,0.7482847341337907
II,Новообразования,C16,1083,67.61034164358264,679,"Злокачественное новообразование желудка, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.09539328811767815,0.6269621421975993
II,Новообразования,C18,816,70.34191176470588,346,Злокачественное новообразование сигмовидной кишки,11353,0.07187527525764115,0.42401960784313725
II,Новообразования,C25,775,67.07354838709678,363,Злокачественное новообразование головки поджелудочной железы,11353,0.06826389500572536,0.46838709677419355
II,Новообразования,C50,675,65.4074074074074,7,"Злокачественное новообразование молочной железы, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.05945565048885757,0.01037037037037037
II,Новообразования,C22,552,65.35326086956522,375,Печеночноклеточный рак,11353,0.04862150973311019,0.6793478260869565
II,Новообразования,C61,388,71.97680412371135,388,Злокачественное новообразование предстательной железы,11353,0.03417598872544702,1.0
II,Новообразования,C15,374,64.70855614973262,285,"Злокачественное новообразование пищевода, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.03294283449308553,0.7620320855614974
II,Новообразования,C20,327,68.29969418960245,171,Злокачественное новообразование прямой кишки,11353,0.028802959570157667,0.5229357798165137
II,Новообразования,C64,323,66.15170278637771,223,"Злокачественное новообразование почки, кроме почечной лоханки",11353,0.028450629789482956,0.6904024767801857
II,Новообразования,C56,311,66.45659163987138,0,Злокачественное новообразование яичника,11353,0.02739364044745882,0.0
II,Новообразования,C53,282,57.06028368794326,0,"Злокачественное новообразование шейки матки, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.02483924953756716,0.0
II,Новообразования,C67,262,69.95419847328245,193,"Злокачественное новообразование мочевого пузыря, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.023077600634193604,0.7366412213740458
II,Новообразования,C54,221,67.35746606334841,1,"Злокачественное новообразование тела матки, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.019466220382277813,0.004524886877828055
II,Новообразования,C71,220,60.86818181818182,114,"Злокачественное новообразование головного мозга, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.019378137937109133,0.5181818181818182
II,Новообразования,C32,200,63.025,185,"Злокачественное новообразование гортани, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.017616489033735576,0.925
II,Новообразования,C43,150,65.28666666666666,62,Злокачественная меланома туловища,11353,0.013212366775301682,0.41333333333333333
II,Новообразования,C19,120,70.15,54,Злокачественное новообразование ректосигмоидного соединения,11353,0.010569893420241346,0.45
II,Новообразования,C97,110,69.86363636363636,59,Злокачественное новообразование самостоятельных (первичных) множественных локализаций,11353,0.009689068968554567,0.5363636363636364
II,Новообразования,C10,106,62.405660377358494,81,"Злокачественное новообразование ротоглотки, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.009336739187879856,0.7641509433962265
II,Новообразования,C92,87,65.64367816091954,52,Острый миелобластный лейкоз [ОМЛ],11353,0.007663172729674976,0.5977011494252874
II,Новообразования,C90,86,68.03488372093024,37,Множественная миелома,11353,0.0075750902845062975,0.43023255813953487
II,Новообразования,C91,76,63.96052631578947,52,В-клеточный хронический лимфоцитарный лейкоз,11353,0.006694265832819519,0.6842105263157895
II,Новообразования,C83,75,62.49333333333333,44,Диффузная В-крупноклеточная лимфома,11353,0.006606183387650841,0.5866666666666667
II,Новообразования,C13,73,61.21917808219178,64,"Злокачественное новообразование нижней части глотки, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.0064300184973134855,0.8767123287671232
II,Новообразования,C24,73,66.05479452054794,31,Злокачественное новообразование внепеченочного желчного протока,11353,0.0064300184973134855,0.4246575342465753
II,Новообразования,C04,68,60.9264705882353,49,"Злокачественное новообразование дна полости рта, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.005989606271470096,0.7205882352941176
II,Новообразования,C02,62,60.67741935483871,40,"Злокачественное новообразование языка, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.005461111600458029,0.6451612903225806
II,Новообразования,C21,52,64.40384615384616,19,"Злокачественное новообразование прямой кишки, заднего прохода [ануса] и анального канала, выходящее за пределы вышеуказанных локализаций",11353,0.00458028714877125,0.36538461538461536
II,Новообразования,C45,52,70.28846153846153,22,Мезотелиома плевры,11353,0.00458028714877125,0.4230769230769231
II,Новообразования,C49,50,65.24,31,"Злокачественное новообразование соединительной и мягких тканей нижней конечности, включая тазобедренную область",11353,0.004404122258433894,0.62
II,Новообразования,C44,45,70.17777777777778,18,Другие злокачественные новообразования кожи других и неуточненных частей лица,11353,0.003963710032590505,0.4
II,Новообразования,C17,44,68.13636363636364,17,Злокачественное новообразование двенадцатиперстной кишки,11353,0.003875627587421827,0.38636363636363635
II,Новообразования,C48,37,63.7027027027027,12,Злокачественное новообразование забрюшинного пространства,11353,0.0032590504712410816,0.32432432432432434
II,Новообразования,D43,37,65.16216216216216,18,Новообразование неопределенного или неизвестного характера головного мозга над мозговым наметом,11353,0.0032590504712410816,0.4864864864864865
II,Новообразования,D32,36,71.72222222222223,5,Доброкачественное новообразование оболочек головного мозга,11353,0.003170968026072404,0.1388888888888889
II,Новообразования,C51,32,68.21875,0,"Злокачественное новообразование вульвы, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.0028186382453976922,0.0
II,Новообразования,C85,32,66.46875,14,B-клеточная лимфома неуточненная,11353,0.0028186382453976922,0.4375
II,Новообразования,C80,30,62.9,22,Злокачественное новообразование неуточненное   ,11353,0.0026424733550603364,0.7333333333333333
II,Новообразования,D46,30,67.83333333333333,19,Другие миелодиспластические синдромы,11353,0.0026424733550603364,0.6333333333333333
II,Новообразования,C23,29,71.24137931034483,8,Злокачественное новообразование желчного пузыря,11353,0.0025543909098916587,0.27586206896551724
II,Новообразования,C73,29,69.44827586206897,9,Злокачественное новообразование щитовидной железы,11353,0.0025543909098916587,0.3103448275862069
II,Новообразования,C74,25,62.08,20,Злокачественное новообразование коры надпочечника,11353,0.002202061129216947,0.8
II,Новообразования,C01,22,64.0,18,Злокачественные новообразования основания языка,11353,0.0019378137937109134,0.8181818181818182
II,Новообразования,C38,21,60.666666666666664,13,Злокачественное новообразование плевры,11353,0.0018497313485422355,0.6190476190476191
II,Новообразования,C41,20,61.45,10,"Злокачественное новообразование костей таза, крестца и копчика",11353,0.0017616489033735576,0.5
II,Новообразования,C62,18,46.44444444444444,18,Злокачественное новообразование опущенного яичка,11353,0.001585484013036202,1.0
II,Новообразования,C07,17,66.05882352941177,9,Злокачественное новообразование околоушной слюнной железы,11353,0.001497401567867524,0.5294117647058824
II,Новообразования,C14,17,58.23529411764706,14,"Злокачественное новообразование губы, полости рта и глотки, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.001497401567867524,0.8235294117647058
II,Новообразования,C57,17,63.76470588235294,0,Злокачественное новообразование женских половых органов   ,11353,0.001497401567867524,0.0
II,Новообразования,C03,16,64.6875,9,Злокачественное новообразование десны нижней челюсти,11353,0.0014093191226988461,0.5625
II,Новообразования,C05,16,61.3125,10,Злокачественное новообразование мягкого неба,11353,0.0014093191226988461,0.625
II,Новообразования,C93,16,62.75,6,Острый монобластный/моноцитарный лейкоз,11353,0.0014093191226988461,0.375
II,Новообразования,C69,15,66.0,9,Злокачественное новообразование сосудистой оболочки,11353,0.0013212366775301682,0.6
II,Новообразования,D33,14,65.21428571428571,4,Доброкачественное новообразование головного мозга   ,11353,0.0012331542323614903,0.2857142857142857
II,Новообразования,C08,13,67.61538461538461,8,"Злокачественное новообразование больших слюнных желез, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.0011450717871928126,0.6153846153846154
II,Новообразования,C31,13,57.53846153846154,8,"Злокачественное новообразование придаточных пазух, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.0011450717871928126,0.6153846153846154
II,Новообразования,C84,13,58.92307692307692,8,"Периферическая Т-клеточная лимфома, не классифицированная в других рубриках",11353,0.0011450717871928126,0.6153846153846154
II,Новообразования,C40,12,53.083333333333336,6,Злокачественное новообразование длинных костей нижней конечности,11353,0.0010569893420241346,0.5
II,Новообразования,C65,12,71.33333333333333,9,Злокачественное новообразование почечных лоханок,11353,0.0010569893420241346,0.75
II,Новообразования,D47,12,66.08333333333333,7,Хроническая миелопролиферативная болезнь,11353,0.0010569893420241346,0.5833333333333334
II,Новообразования,C09,11,61.63636363636363,8,"Злокачественное новообразование миндалины, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.0009689068968554567,0.7272727272727273
II,Новообразования,C81,11,59.72727272727273,8,(Классическая) лимфома Ходжкина [Hodgkin] с нодулярным склерозом,11353,0.0009689068968554567,0.7272727272727273
II,Новообразования,C94,11,64.63636363636364,5,Острый моноцитарный лейкоз   ,11353,0.0009689068968554567,0.45454545454545453
II,Новообразования,C95,11,71.81818181818181,1,Острый лейкоз неуточненного клеточного типа,11353,0.0009689068968554567,0.09090909090909091
II,Новообразования,D45,11,75.0,8,Полицитемия истинная,11353,0.0009689068968554567,0.7272727272727273
II,Новообразования,C00,10,64.7,9,"Злокачественное новообразование губы, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.0008808244516867788,0.9
II,Новообразования,C06,10,62.7,6,Злокачественное новообразование слизистой оболочки щеки,11353,0.0008808244516867788,0.6
II,Новообразования,C33,10,65.8,7,Злокачественное новообразование трахеи,11353,0.0008808244516867788,0.7
II,Новообразования,C76,10,64.7,6,"Злокачественное новообразование других и неточно обозначенных локализаций, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.0008808244516867788,0.6
II,Новообразования,C79,10,62.8,5,Вторичное злокачественное новообразование других уточненных локализаций,11353,0.0008808244516867788,0.5
II,Новообразования,C60,9,67.22222222222223,9,Злокачественное новообразование крайней плоти,11353,0.000792742006518101,1.0
II,Новообразования,C66,9,68.0,4,Злокачественное новообразование мочеточника,11353,0.000792742006518101,0.4444444444444444
II,Новообразования,C68,9,66.44444444444444,4,"Злокачественное новообразование мочевых органов, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.000792742006518101,0.4444444444444444
II,Новообразования,C77,9,62.22222222222222,7,Вторичное злокачественное новообразование лимфатических узлов головы и шеи   ,11353,0.000792742006518101,0.7777777777777778
II,Новообразования,D35,9,61.0,4,Доброкачественное новообразование гипофиза,11353,0.000792742006518101,0.4444444444444444
II,Новообразования,C82,8,69.5,5,Фолликулярная лимфома   ,11353,0.0007046595613494231,0.625
II,Новообразования,D37,8,70.125,3,Новообразование неопределенного поведения поджелудочной железы   ,11353,0.0007046595613494231,0.375
II,Новообразования,C11,7,50.142857142857146,6,"Злокачественное новообразование носоглотки, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.0006165771161807451,0.8571428571428571
II,Новообразования,C70,7,54.57142857142857,3,Злокачественное новообразование оболочек головного мозга,11353,0.0006165771161807451,0.42857142857142855
II,Новообразования,C72,7,61.57142857142857,3,Злокачественное новообразование спинного мозга   ,11353,0.0006165771161807451,0.42857142857142855
II,Новообразования,D25,7,60.285714285714285,0,Интрамуральная лейомиома матки   ,11353,0.0006165771161807451,0.0
II,Новообразования,D42,7,75.28571428571429,3,Новообразование неопределенного поведения мозговых оболочек   ,11353,0.0006165771161807451,0.42857142857142855
II,Новообразования,C30,6,60.833333333333336,3,Злокачественное новообразование полости носа   ,11353,0.0005284946710120673,0.5
II,Новообразования,C52,6,49.833333333333336,0,Злокачественное новообразование влагалища,11353,0.0005284946710120673,0.0
II,Новообразования,C75,6,66.5,2,Злокачественное новообразование гипофиза,11353,0.0005284946710120673,0.3333333333333333
II,Новообразования,D39,5,67.0,0,Новообразование неопределенного поведения яичника   ,11353,0.0004404122258433894,0.0
II,Новообразования,C12,4,65.0,4,Злокачественное новообразование грушевидного синуса,11353,0.00035232978067471153,1.0
II,Новообразования,D13,4,82.0,2,Доброкачественное новообразование двенадцатиперстной кишки   ,11353,0.00035232978067471153,0.5
II,Новообразования,D48,4,77.75,0,Новообразование неопределенного поведения брюшины   ,11353,0.00035232978067471153,0.0
II,Новообразования,C26,3,70.0,1,Злокачественное новообразование других органов пищеварения   ,11353,0.00026424733550603366,0.3333333333333333
II,Новообразования,C47,3,65.33333333333333,2,"Злокачественное новообразование периферических нервов верхней конечности, включая область плечевого пояса",11353,0.00026424733550603366,0.6666666666666666
II,Новообразования,C63,3,72.66666666666667,3,Злокачественное новообразование мужских половых органов   ,11353,0.00026424733550603366,1.0
II,Новообразования,D18,3,59.0,2,Гемангиома любой локализации,11353,0.00026424733550603366,0.6666666666666666
II,Новообразования,D27,3,60.0,0,Доброкачественное новообразование яичника,11353,0.00026424733550603366,0.0
II,Новообразования,D38,3,67.66666666666667,3,Новообразование неопределенного поведения трахеи   ,11353,0.00026424733550603366,1.0
II,Новообразования,D41,3,79.66666666666667,1,Новообразование неопределенного или неизвестного характера почки,11353,0.00026424733550603366,0.3333333333333333
II,Новообразования,D44,3,49.666666666666664,1,Новообразование неопределенного поведения гипофиза   ,11353,0.00026424733550603366,0.3333333333333333
II,Новообразования,C37,2,62.5,2,Злокачественное новообразование тимуса   ,11353,0.00017616489033735576,1.0
II,Новообразования,C78,2,70.5,0,Вторичное злокачественное новообразование брюшины   ,11353,0.00017616489033735576,0.0
II,Новообразования,C88,2,63.0,1,Макроглобулинемия Вальденстрема   ,11353,0.00017616489033735576,0.5
II,Новообразования,C96,2,56.5,1,Злокачественное новообразование лимфоидной ткани   ,11353,0.00017616489033735576,0.5
II,Новообразования,D12,2,77.0,2,Доброкачественное новообразование нисходящей ободочной кишки,11353,0.00017616489033735576,1.0
II,Новообразования,D15,2,59.0,0,Доброкачественное новообразование сердца,11353,0.00017616489033735576,0.0
II,Новообразования,D30,2,85.5,1,Доброкачественное новообразование мочевого пузыря   ,11353,0.00017616489033735576,0.5
II,Новообразования,C39,1,59.0,1,Злокачественное новообразование органов дыхания   ,11353,8.808244516867788e-05,1.0
II,Новообразования,C55,1,68.0,0,Злокачественное новообразование матки   ,11353,8.808244516867788e-05,0.0
II,Новообразования,D10,1,71.0,0,Доброкачественное новообразование гортаноглотки,11353,8.808244516867788e-05,0.0
II,Новообразования,D16,1,68.0,0,Доброкачественное новообразование костей черепа   ,11353,8.808244516867788e-05,0.0
II,Новообразования,D17,1,74.0,1,Доброкачественное новообразование жировой ткани органов грудной клетки,11353,8.808244516867788e-05,1.0
II,Новообразования,D29,1,76.0,1,Доброкачественное новообразование предстательной железы,11353,8.808244516867788e-05,1.0
II,Новообразования,D36,1,69.0,0,Доброкачественное новообразование периферических нервов   ,11353,8.808244516867788e-05,0.0
II,Новообразования,D40,1,85.0,1,Новообразование неопределенного поведения предстательной железы   ,11353,8.808244516867788e-05,1.0
III,Кровь и иммунитет,D68,21,68.47619047619048,10,"Геморрагические нарушения, обусловленные циркулирующими в крови антикоагулянтами",71,0.29577464788732394,0.47619047619047616
III,Кровь и иммунитет,D61,19,69.42105263157895,4,Идиопатическая апластическая анемия,71,0.2676056338028169,0.21052631578947367
III,Кровь и иммунитет,D73,11,68.72727272727273,4,Абсцесс селезенки,71,0.15492957746478872,0.36363636363636365
III,Кровь и иммунитет,D86,5,52.8,4,Саркоидоз других уточненных и комбинированных локализаций,71,0.07042253521126761,0.8
III,Кровь и иммунитет,D69,4,67.5,1,Идиопатическая тромбоцитопеническая пурпура,71,0.056338028169014086,0.25
III,Кровь и иммунитет,D59,3,74.0,2,Другие гемолитические анемии   ,71,0.04225352112676056,0.6666666666666666
III,Кровь и иммунитет,D60,3,63.333333333333336,1,Хроническая приобретенная чистая красноклеточная аплазия,71,0.04225352112676056,0.3333333333333333
III,Кровь и иммунитет,D50,2,74.0,0,Другие железодефицитные анемии   ,71,0.028169014084507043,0.0
III,Кровь и иммунитет,D52,1,77.0,1,Фолиеводефицитная анемия неуточненная,71,0.014084507042253521,1.0
III,Кровь и иммунитет,D65,1,46.0,1,Диссеминированное внутрисосудистое свертывание [ДВС-синдром]   ,71,0.014084507042253521,1.0
III,Кровь и иммунитет,D70,1,70.0,0,Агранулоцитоз   ,71,0.014084507042253521,0.0
IV,Эндокринные и обмен,E11,2996,72.60914552736983,947,Инсулиннезависимый сахарный диабет с множественными осложнениями,3183,0.9412503927112786,0.31608811748998666
IV,Эндокринные и обмен,E10,123,55.46341463414634,71,Инсулинзависимый сахарный диабет с множественными осложнениями,3183,0.03864278982092366,0.5772357723577236
IV,Эндокринные и обмен,E66,17,60.705882352941174,6,"Крайняя степень ожирения, сопровождаемая альвеолярной гиповентиляцией",3183,0.0053408733898837575,0.35294117647058826
IV,Эндокринные и обмен,E05,10,61.0,2,Тиреотоксикоз с диффузным зобом,3183,0.0031416902293433867,0.2
IV,Эндокринные и обмен,E43,5,72.0,1,Выраженная белково-энергетическая недостаточность   ,3183,0.0015708451146716933,0.2
IV,Эндокринные и обмен,E51,5,67.8,2,Болезнь Вернике   ,3183,0.0015708451146716933,0.4
IV,Эндокринные и обмен,E13,4,65.5,3,Другой уточненный сахарный диабет с множественными осложнениями   ,3183,0.0012566760917373547,0.75
IV,Эндокринные и обмен,E84,4,12.75,2,Кистозный фиброз с другими проявлениями,3183,0.0012566760917373547,0.5
IV,Эндокринные и обмен,E06,2,66.5,0,Аутоиммунный тиреоидит   ,3183,0.0006283380458686773,0.0
IV,Эндокринные и обмен,E68,2,61.0,0,Последствия гиперфагии   ,3183,0.0006283380458686773,0.0
IV,Эндокринные и обмен,E75,2,18.0,0,Другие ганглиозидозы   ,3183,0.0006283380458686773,0.0
IV,Эндокринные и обмен,E85,2,42.0,2,Амилоидоз неуточненный   ,3183,0.0006283380458686773,1.0
IV,Эндокринные и обмен,E04,1,78.0,0,Нетоксический многоузловой зоб   ,3183,0.00031416902293433867,0.0
IV,Эндокринные и обмен,E14,1,49.0,0,Сахарный диабет неуточненный с поражением почек   ,3183,0.00031416902293433867,0.0
IV,Эндокринные и обмен,E23,1,65.0,1,Гипопитуитаризм   ,3183,0.00031416902293433867,1.0
IV,Эндокринные и обмен,E26,1,86.0,0,Первичный гиперальдостеронизм   ,3183,0.00031416902293433867,0.0
IV,Эндокринные и обмен,E44,1,70.0,0,Умеренная белково-энергетическая недостаточность   ,3183,0.00031416902293433867,0.0
IV,Эндокринные и обмен,E71,1,1.0,0,Другие виды нарушений обмена аминокислот с разветвленной цепью,3183,0.00031416902293433867,0.0
IV,Эндокринные и обмен,E72,1,10.0,1,Нарушения транспорта аминокислот   ,3183,0.00031416902293433867,1.0
IV,Эндокринные и обмен,E74,1,64.0,0,Другие нарушения углеводного обмена   ,3183,0.00031416902293433867,0.0
IV,Эндокринные и обмен,E76,1,3.0,0,Муковисцидоз   ,3183,0.00031416902293433867,0.0
IV,Эндокринные и обмен,E78,1,32.0,0,Чистая гиперхолестеринемия   ,3183,0.00031416902293433867,0.0
IV,Эндокринные и обмен,E83,1,70.0,0,Нарушения обмена меди   ,3183,0.00031416902293433867,0.0
IX,Кровообращение,I25,4157,73.24633148905461,2148,Другие формы хронической ишемической болезни сердца,17233,0.2412232344919631,0.5167187875872024
IX,Кровообращение,I63,2211,72.18543645409316,1012,"Инфаркт мозга, вызванный тромбозом мозговых артерий",17233,0.1283003539720304,0.4577114427860697
IX,Кровообращение,I21,1955,65.55652173913043,1289,Острый трансмуральный инфаркт передней стенки миокарда,17233,0.11344513433528695,0.6593350383631713
IX,Кровообращение,I69,1446,73.4460580912863,684,Последствия инфаркта мозга,17233,0.08390877966691812,0.4730290456431535
